# selid,regid,reg_class_name,reg_name,res_type,priv,id,bankid,base
# selid = SelID
#         Only decimal number is accesptable.
# regid = RegID
#         Only decimal number is accesptable.
# reg_class_name = Class name of the register
#         Any string is accesptable.
# reg_name = Instance name of the register
#         Any string is accesptable.
# res_type = The register is accessible only if the mechanithm is enabled. If disabled, RIE/UCPOP will occur.
#         V:Virtualization resources (enabled HVCFG.HVE=1)
#         F: FPU resource (enabled PSW.CU0=1)
#         S: FXU (SIMD) resource (enabled PSW.CU1=1)
#         -:No special resource (enabled always)
# priv = Accessible privilege mode. If the register is accessed by lower mode, PIE will occur.
#        If register has different mode for each PE or R/W access type,
#        set lowest mode and check the mode in Read/Write function for each register.
#         H:HV privilege (If HVCFG.HVE=0, HV is treated as SV)
#         D:DB && SV privilege
#         S:SV privilege
#         U:UM privilege
# id = If multiple registers is instantiated from same "reg_class_name" class,
#      the id number will be put for them to distinguish for each.
# bankid = The bank id of MPU entry registers.
# base = name of base class for the register.
#        Basically, virtualized registers have common base classes.
9,2,GMFEPC,GMFEPC,V,H,-,-,FEPC
9,3,GMFEPSW,GMFEPSW,V,H,-,-,PSW
9,5,GMPSW,GMPSW,V,U,-,-,PSW
9,6,GMMEA,GMMEA,V,H,-,-,MEA
9,8,GMMEI,GMMEI,V,H,-,-,MEI
9,13,GMEIIC,GMEIIC,V,H,-,-,EIIC
9,14,GMFEIC,GMFEIC,V,H,-,-,FEIC
9,16,GMSPID,GMSPID,V,H,-,-,SPID
9,17,GMSPIDLIST,GMSPIDLIST,V,H,-,-,SPIDLIST
9,19,GMEBASE,GMEBASE,V,H,-,-,EBASE
9,20,GMINTBP,GMINTBP,V,H,-,-,INTBP
9,21,GMINTCFG,GMINTCFG,V,H,-,-,INTCFG
9,22,GMPLMR,GMPLMR,V,H,-,-,PLMR
9,24,GMSVLOCK,GMSVLOCK,V,H,-,-,SVLOCK
9,25,GMMPM,GMMPM,V,H,-,-,MPM
9,28,GMEIWR,GMEIWR,V,H,-,-,EIWR
9,29,GMFEWR,GMFEWR,V,H,-,-,FEWR
9,30,GMPEID,GMPEID,V,U,-,-,PEID
10,6,FXSR,FXSR,S,S,-,-,-
10,8,FXST,FXST,S,U,-,-,-
10,9,FXINFO,FXINFO,S,U,-,-,-
10,10,FXCFG,FXCFG,S,U,-,-,-
10,12,FXXC,FXXC,S,U,-,-,-
10,13,FXXP,FXXP,S,U,-,-,-
11,0,TSCOUNTL,TSCOUNTL,-,U,-,-,-
11,1,TSCOUNTH,TSCOUNTH,-,U,-,-,-
11,2,TSCTRL,TSCTRL,-,S,-,-,-
11,8,PMUMCTRL,PMUMCTRL,-,S,-,-,-
11,9,PMGMCTRL,PMGMCTRL,V,H,-,-,-
11,16,PMCOUNT,PMCOUNT0_G4X1X,-,U,0,-,-
11,17,PMCTRL,PMCTRL0_G4X1X,-,U,0,-,-
11,18,PMCOUNT,PMCOUNT1_G4X1X,-,U,1,-,-
11,19,PMCTRL,PMCTRL1_G4X1X,-,U,1,-,-
11,20,PMCOUNT,PMCOUNT2_G4X1X,-,U,2,-,-
11,21,PMCTRL,PMCTRL2_G4X1X,-,U,2,-,-
11,22,PMCOUNT,PMCOUNT3_G4X1X,-,U,3,-,-
11,23,PMCTRL,PMCTRL3_G4X1X,-,U,3,-,-
12,0,LSTEST0,LSTEST0,-,S,-,-,-
12,1,LSTEST1,LSTEST1,-,S,-,-,-
12,2,LSCFG,LSCFG,-,S,-,-,-
12,4,ICBKEY,ICBKEY,-,S,-,-,-
12,5,IFCR,IFCR,-,S,-,-,-
12,6,IFCR1,IFCR1,-,S,-,-,-
12,8,BRPCTRL0,BRPCTRL0,-,S,-,-,-
12,9,BRPCTRL1,BRPCTRL1,-,S,-,-,-
12,10,BRPCFG,BRPCFG,-,S,-,-,-
12,11,BRPACTRL,BRPACTRL,-,S,-,-,-
12,12,BRPDATA,BRPDATA,-,S,-,-,-
13,0,DCBKEY,DCBKEY,-,S,-,-,-
13,1,LSUCR,LSUCR,-,S,-,-,-
13,2,LSULNK0,LSULNK0,-,S,-,-,-
13,3,LSULNK1,LSULNK1,-,S,-,-,-
13,8,L1RLCR,L1RLCR,-,S,-,-,-
13,9,L1RLNK0,L1RLNK0,-,S,-,-,-
13,10,L1RLNK1,L1RLNK1,-,S,-,-,-
13,12,L1RCFG,L1RCFG,-,S,-,-,-
13,16,DECFG,DECFG,-,H,-,-,-
13,17,DECTRL,DECTRL,-,S,-,-,-
13,18,DEVDS,DEVDS,V,H,-,-,-
13,24,RDBCR,RDBCR,-,S,-,-,-
13,25,RDBACR,RDBACR,-,S,-,-,-
13,26,RDBATAG,RDBATAG,-,S,-,-,-
13,27,RDBADAT0,RDBADAT0,-,S,-,-,-
13,28,RDBADAT1,RDBADAT1,-,S,-,-,-
13,29,RDBADAT2,RDBADAT2,-,S,-,-,-
13,30,RDBADAT3,RDBADAT3,-,S,-,-,-
13,31,RDBSTAT,RDBSTAT,-,S,-,-,-
14,0,PMCTRL,PMCTRL0_G4MH20,-,U,0,-,-
14,1,PMCTRL,PMCTRL1_G4MH20,-,U,1,-,-
14,2,PMCTRL,PMCTRL2_G4MH20,-,U,2,-,-
14,3,PMCTRL,PMCTRL3_G4MH20,-,U,3,-,-
14,4,PMCTRL,PMCTRL4_G4MH20,-,U,4,-,-
14,5,PMCTRL,PMCTRL5_G4MH20,-,U,5,-,-
14,6,PMCTRL,PMCTRL6_G4MH20,-,U,6,-,-
14,7,PMCTRL,PMCTRL7_G4MH20,-,U,7,-,-
14,16,PMCOUNT,PMCOUNT0_G4MH20,-,U,0,-,-
14,17,PMCOUNT,PMCOUNT1_G4MH20,-,U,1,-,-
14,18,PMCOUNT,PMCOUNT2_G4MH20,-,U,2,-,-
14,19,PMCOUNT,PMCOUNT3_G4MH20,-,U,3,-,-
14,20,PMCOUNT,PMCOUNT4_G4MH20,-,U,4,-,-
14,21,PMCOUNT,PMCOUNT5_G4MH20,-,U,5,-,-
14,22,PMCOUNT,PMCOUNT6_G4MH20,-,U,6,-,-
14,23,PMCOUNT,PMCOUNT7_G4MH20,-,U,7,-,-
15,0,PMSUBCND,PMSUBCND0,-,U,0,-,-
15,1,PMSUBCND,PMSUBCND1,-,U,1,-,-
15,2,PMSUBCND,PMSUBCND2,-,U,2,-,-
15,3,PMSUBCND,PMSUBCND3,-,U,3,-,-
15,4,PMSUBCND,PMSUBCND4,-,U,4,-,-
15,5,PMSUBCND,PMSUBCND5,-,U,5,-,-
15,6,PMSUBCND,PMSUBCND6,-,U,6,-,-
